End of Month,Retired_Worker_Total_Amount,Retired_Worker_Total_Average_Amount,Retired_Worker_Male_Number,Retired_Worker_Male_Average_Amount,Retired_Worker_Male_Female_Number,Retired_Worker_Female_Average_Amount,Spouse_of_Retired_Worker_Total_Number,Spouse_of_Retired_Worker_Total_Average_Amount,Spouse_of_Retired_Worker_Male_Number,Spouse_of_Retired_Worker_Male_Average_Amount,Spouse_of_Retired_Worker_Female_Number,Spouse_of_Retired_Worker_Female_Average_Amount,Child_Of_Retired_Worker_Total_Number,Child_Of_Retired_Worker_Total_Average_Amount,Child_Of_Retired_Worker_Minor_Number,Child_Of_Retired_Worker_Minor_Average_Amount,Child_Of_Retired_Worker_Disabled_Number,Child_Of_Retired_Worker_Disabled_Average_Amount,Child_Of_Retired_Worker_Student_Number,Child_Of_Retired_Worker_Student_Average_Amount,Child_Of_Deceased_Worker_Total_Number,Child_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Deceased_Worker_Minor_Number,Child_Of_Deceased_Worker_Minor_Average_Amount,Child_Of_Deceased_Worker_Disabled_Number,Child_Of_Deceased_Worker_Disabled_Average_Amount,Child_Of_Deceased_Worker_Student_Number,Child_Of_Deceased_Worker_Student_Average_Amount,Child_Of_Aged_Widower_Total_Number,Child_Of_Aged_Widower_Total_Average_Amount,Child_Of_Aged_Widower_Male_Number,Child_Of_Aged_Widower_Male_Average_Amount,Child_Of_Aged_Widower_Female_Number,Child_Of_Aged_Widower_Female_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Total_Number,Child_Of_Young_Widower_With_Child_In_Care_Total_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Male_Number,Child_Of_Young_Widower_With_Child_In_Care_Male_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Female_Number,Child_Of_Young_Widower_With_Child_In_Care_Female_Average_Amount,Child_Of_Disabled_Widower_Total_Number,Child_Of_Disabled_Widower_Total_Average_Amount,Child_Of_Disabled_Widower_Male_Number,Child_Of_Disabled_Widower_Male_Average_Amount,Child_Of_Disabled_Widower_Female_Number,Child_Of_Disabled_Widower_Female_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Total_Number,Child_Of_Parent_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Male_Number,Child_Of_Parent_Of_Deceased_Worker_Male_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Female_Number,Child_Of_Parent_Of_Deceased_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Male_Number,Child_Of_Disabled_Worker_Male_Average_Amount,Child_Of_Disabled_Worker_Female_Number,Child_Of_Disabled_Worker_Female_Average_Amount,Spouse_Of_Disabled_Worker_Total_Number,Spouse_Of_Disabled_Worker_Total_Average_Amount,Spouse_Of_Disabled_Worker_Male_Number,Spouse_Of_Disabled_Worker_Male_Average_Amount,Spouse_Of_Disabled_Worker_Female_Number,Spouse_Of_Disabled_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Minor_Number,Child_Of_Disabled_Worker_Minor_Average_Amount,Child_Of_Disabled_Worker_Disabled_Number,Child_Of_Disabled_Worker_Disabled_Average_Amount,Child_Of_Disabled_Worker_Student_Number,Child_Of_Disabled_Worker_Student_Average_Amount,,,,,,,,,,,
Jul-17,"42,006,148","$1,369.97 ","20,977,414","$1,528.21 ","21,028,734","$1,212.12 ","2,369,288",$713.22 ,"147,279",$596.29 ,"2,222,009",$720.97 ,"658,997",$658.67 ,"338,720",$637.40 ,"315,018",$680.58 ,"5,259",$716.14 ,"1,860,604",$838.48 ,"1,185,467",$827.21 ,"659,232",$857.56 ,"15,905",$887.44 ,"3,718,027","$1,308.03 ","112,688","$1,151.74 ","3,605,339","$1,312.91 ","128,630",$952.79 ,"10,213",$818.51 ,"118,417",$964.38 ,"259,320",$715.29 ,"19,350",$534.12 ,"239,970",$729.89 ,"1,168","$1,157.43 ",149,"$1,070.03 ","1,019","$1,170.21 ","8,748,249","$1,171.78 ","4,468,047","$1,293.27 ","4,280,202","$1,044.96 ","129,984",$326.78 ,"10,041",$349.96 ,"119,943",$324.84 ,"1,588,023",$355.74 ,"1,451,739",$343.86 ,"122,741",$483.81 ,"13,543",$468.12 ,,,,,,,,,,,
Aug-17,"42,123,973","$1,371.14 ","21,031,927","$1,529.35 ","21,092,046","$1,213.38 ","2,372,361",$714.00 ,"148,938",$597.24 ,"2,223,423",$721.82 ,"661,700",$658.88 ,"338,864",$636.89 ,"316,026",$680.95 ,"6,810",$729.06 ,"1,866,676",$838.56 ,"1,185,246",$826.71 ,"660,297",$858.00 ,"21,133",$895.53 ,"3,719,245","$1,308.83 ","113,602","$1,152.37 ","3,605,643","$1,313.76 ","129,693",$954.51 ,"10,319",$819.53 ,"119,374",$966.18 ,"259,157",$715.28 ,"19,415",$534.20 ,"239,742",$729.95 ,"1,148","$1,162.07 ",147,"$1,072.13 ","1,001","$1,175.28 ","8,741,745","$1,171.84 ","4,462,834","$1,293.21 ","4,278,911","$1,045.25 ","129,460",$326.76 ,"10,035",$350.44 ,"119,425",$324.77 ,"1,585,921",$356.16 ,"1,445,484",$343.89 ,"122,947",$483.35 ,"17,490",$476.26 ,,,,,,,,,,,
Sep-17,"42,181,805","$1,372.39 ","21,054,208","$1,530.63 ","21,127,597","$1,214.70 ","2,372,763",$714.80 ,"150,410",$598.27 ,"2,222,353",$722.69 ,"663,864",$659.37 ,"337,501",$636.68 ,"316,856",$681.27 ,"9,507",$734.60 ,"1,876,026",$838.80 ,"1,185,197",$826.18 ,"661,457",$858.44 ,"29,372",$906.07 ,"3,710,522","$1,309.79 ","113,363","$1,153.83 ","3,597,159","$1,314.71 ","126,503",$955.67 ,"9,954",$821.45 ,"116,549",$967.14 ,"259,062",$715.32 ,"19,481",$534.30 ,"239,581",$730.04 ,"1,152","$1,163.57 ",148,"$1,074.17 ","1,004","$1,176.75 ","8,736,086","$1,171.97 ","4,457,962","$1,293.26 ","4,278,124","$1,045.58 ","127,980",$327.91 ,"9,991",$351.96 ,"117,989",$325.88 ,"1,586,273",$356.77 ,"1,438,929",$343.82 ,"123,198",$482.96 ,"24,146",$484.27 ,,,,,,,,,,,
Oct-17,"42,287,263","$1,374.55 ","21,102,924","$1,532.80 ","21,184,339","$1,216.92 ","2,374,873",$716.39 ,"152,096",$600.33 ,"2,222,777",$724.33 ,"668,416",$660.47 ,"337,915",$637.15 ,"317,558",$682.12 ,"12,943",$738.03 ,"1,887,950",$839.70 ,"1,186,345",$826.47 ,"661,876",$859.01 ,"39,729",$912.81 ,"3,709,348","$1,310.70 ","114,311","$1,154.92 ","3,595,037","$1,315.65 ","127,759",$955.96 ,"10,100",$820.97 ,"117,659",$967.55 ,"259,040",$715.23 ,"19,549",$535.04 ,"239,491",$729.94 ,"1,152","$1,165.64 ",150,"$1,069.32 ","1,002","$1,180.06 ","8,725,921","$1,173.16 ","4,451,010","$1,294.37 ","4,274,911","$1,046.96 ","127,532",$328.87 ,"10,054",$353.74 ,"117,478",$326.74 ,"1,590,180",$358.06 ,"1,434,529",$344.38 ,"123,255",$483.47 ,"32,396",$486.31 ,,,,,,,,,,,
Nov-17,"42,390,416","$1,375.29 ","21,150,866","$1,533.50 ","21,239,550","$1,217.75 ","2,377,456",$716.90 ,"153,386",$600.91 ,"2,224,070",$724.89 ,"671,909",$660.84 ,"337,381",$636.71 ,"318,494",$682.35 ,"16,034",$741.48 ,"1,894,253",$840.04 ,"1,183,460",$826.09 ,"662,513",$859.27 ,"48,280",$918.21 ,"3,710,101","$1,311.29 ","115,090","$1,155.49 ","3,595,011","$1,316.27 ","128,772",$957.69 ,"10,216",$824.45 ,"118,556",$969.18 ,"258,590",$715.22 ,"19,569",$535.28 ,"239,021",$729.95 ,"1,146","$1,163.98 ",151,"$1,061.37 ",995,"$1,179.56 ","8,710,690","$1,173.15 ","4,441,914","$1,294.22 ","4,268,776","$1,047.18 ","126,811",$328.67 ,"10,046",$352.18 ,"116,765",$326.65 ,"1,589,106",$358.53 ,"1,426,178",$344.16 ,"123,109",$483.47 ,"39,819",$487.06 ,,,,,,,,,,,
Dec-17,"42,446,992","$1,404.15 ","21,175,568","$1,565.45 ","21,271,424","$1,243.58 ","2,375,575",$732.13 ,"154,477",$614.24 ,"2,221,098",$740.33 ,"675,261",$674.56 ,"336,703",$649.10 ,"319,162",$696.37 ,"19,396",$757.74 ,"1,903,757",$857.59 ,"1,182,696",$842.51 ,"662,986",$876.97 ,"58,075",$943.40 ,"3,702,828","$1,338.48 ","115,320","$1,179.43 ","3,587,508","$1,343.59 ","128,264",$975.34 ,"10,202",$840.62 ,"118,062",$986.98 ,"258,286",$729.44 ,"19,575",$545.11 ,"238,711",$744.56 ,"1,145","$1,186.43 ",153,"$1,085.61 ",992,"$1,201.98 ","8,695,475","$1,196.87 ","4,432,330","$1,320.30 ","4,263,145","$1,068.54 ","126,154",$335.42 ,"10,063",$360.08 ,"116,091",$333.28 ,"1,589,623",$366.40 ,"1,418,446",$350.92 ,"123,257",$493.13 ,"47,920",$498.71 ,,,,,,,,,,,
Jan-18,"42,580,884","$1,406.91 ","21,239,091","$1,568.45 ","21,341,793","$1,246.14 ","2,368,707",$733.23 ,"155,272",$615.14 ,"2,213,435",$741.52 ,"680,054",$675.98 ,"337,658",$649.92 ,"319,448",$697.40 ,"22,948",$761.41 ,"1,914,746",$859.37 ,"1,183,836",$844.00 ,"663,503",$877.50 ,"67,407",$950.77 ,"3,671,306","$1,340.73 ","114,548","$1,183.44 ","3,556,758","$1,345.80 ","118,414",$964.12 ,"9,212",$825.15 ,"109,202",$975.85 ,"257,953",$729.31 ,"19,613",$545.20 ,"238,340",$744.46 ,"1,118","$1,192.89 ",148,"$1,102.92 ",970,"$1,206.61 ","8,677,460","$1,197.07 ","4,420,492","$1,320.50 ","4,256,968","$1,068.90 ","124,289",$335.61 ,"10,018",$361.05 ,"114,271",$333.38 ,"1,589,361",$367.22 ,"1,410,128",$350.88 ,"123,070",$493.42 ,"56,163",$500.96 ,,,,,,,,,,,
Feb-18,"42,709,500","$1,407.96 ","21,302,754","$1,569.48 ","21,406,746","$1,247.23 ","2,370,434",$733.75 ,"156,763",$615.62 ,"2,213,671",$742.12 ,"684,300",$676.58 ,"337,727",$649.71 ,"320,330",$697.74 ,"26,243",$763.91 ,"1,921,951",$859.90 ,"1,182,063",$843.68 ,"664,047",$877.81 ,"75,841",$955.81 ,"3,674,316","$1,341.52 ","115,711","$1,183.64 ","3,558,605","$1,346.65 ","119,699",$965.34 ,"9,327",$826.02 ,"110,372",$977.12 ,"257,669",$728.99 ,"19,657",$544.96 ,"238,012",$744.18 ,"1,115","$1,188.49 ",146,"$1,092.57 ",969,"$1,202.94 ","8,663,192","$1,197.14 ","4,412,225","$1,320.42 ","4,250,967","$1,069.17 ","123,882",$335.46 ,"9,994",$360.27 ,"113,888",$333.28 ,"1,589,065",$367.73 ,"1,402,747",$350.65 ,"123,176",$492.75 ,"63,142",$503.29 ,,,,,,,,,,,
Mar-18,"42,814,491","$1,409.91 ","21,352,681","$1,571.32 ","21,461,810","$1,249.33 ","2,371,465",$734.89 ,"158,808",$617.38 ,"2,212,657",$743.32 ,"690,175",$677.38 ,"339,180",$649.70 ,"321,260",$698.48 ,"29,735",$765.22 ,"1,934,211",$860.83 ,"1,184,497",$843.82 ,"664,807",$878.23 ,"84,907",$961.93 ,"3,675,965","$1,342.49 ","117,112","$1,184.19 ","3,558,853","$1,347.70 ","121,252",$966.55 ,"9,459",$828.33 ,"111,793",$978.25 ,"257,748",$728.81 ,"19,722",$545.18 ,"238,026",$744.03 ,"1,114","$1,187.88 ",146,"$1,092.59 ",968,"$1,202.26 ","8,653,039","$1,197.65 ","4,404,707","$1,320.92 ","4,248,332","$1,069.83 ","123,840",$335.51 ,"10,017",$359.85 ,"113,823",$333.37 ,"1,590,378",$368.47 ,"1,396,542",$350.61 ,"123,235",$492.58 ,"70,601",$505.06 ,,,,,,,,,,,
Apr-18,"42,920,600","$1,411.07 ","21,401,914","$1,572.40 ","21,518,686","$1,250.62 ","2,374,234",$735.55 ,"160,895",$618.24 ,"2,213,339",$744.07 ,"695,478",$677.52 ,"340,482",$648.86 ,"322,440",$698.74 ,"32,556",$767.01 ,"1,944,508",$861.18 ,"1,186,972",$843.31 ,"666,065",$878.67 ,"91,471",$965.67 ,"3,678,214","$1,343.26 ","118,229","$1,184.54 ","3,559,985","$1,348.53 ","122,503",$967.57 ,"9,586",$830.64 ,"112,917",$979.19 ,"257,812",$728.42 ,"19,780",$545.38 ,"238,032",$743.63 ,"1,109","$1,190.26 ",145,"$1,091.36 ",964,"$1,205.14 ","8,645,567","$1,197.95 ","4,399,077","$1,321.22 ","4,246,490","$1,070.25 ","123,720",$335.78 ,"10,043",$361.43 ,"113,677",$333.52 ,"1,591,287",$369.01 ,"1,391,777",$350.50 ,"123,482",$492.80 ,"76,028",$506.92 ,,,,,,,,,,,
May-18,"43,023,866","$1,412.14 ","21,448,947","$1,573.40 ","21,574,919","$1,251.82 ","2,376,723",$736.15 ,"162,697",$619.01 ,"2,214,026",$744.76 ,"698,965",$677.59 ,"340,877",$648.25 ,"323,793",$698.93 ,"34,295",$767.83 ,"1,949,119",$861.34 ,"1,186,025",$842.72 ,"667,112",$879.08 ,"95,982",$968.18 ,"3,678,372","$1,344.01 ","118,955","$1,185.71 ","3,559,417","$1,349.30 ","123,407",$969.02 ,"9,682",$833.98 ,"113,725",$980.51 ,"257,640",$728.06 ,"19,796",$545.98 ,"237,844",$743.22 ,"1,108","$1,193.48 ",143,"$1,092.91 ",965,"$1,208.39 ","8,633,765","$1,198.16 ","4,391,574","$1,321.37 ","4,242,191","$1,070.60 ","123,414",$336.35 ,"10,086",$362.45 ,"113,328",$334.03 ,"1,587,459",$369.56 ,"1,384,035",$350.59 ,"123,787",$492.56 ,"79,637",$508.06 ,,,,,,,,,,,
Jun-18,"43,130,075","$1,413.37 ","21,496,345","$1,574.56 ","21,633,730","$1,253.20 ","2,377,455",$737.08 ,"164,290",$620.81 ,"2,213,165",$745.71 ,"688,676",$676.76 ,"341,631",$649.72 ,"325,591",$699.22 ,"21,454",$766.66 ,"1,911,104",$860.39 ,"1,187,426",$844.24 ,"668,405",$879.51 ,"55,273",$976.23 ,"3,678,724","$1,344.94 ","119,830","$1,187.03 ","3,558,894","$1,350.25 ","124,554",$974.58 ,"9,852",$838.46 ,"114,702",$986.27 ,"257,465",$727.84 ,"19,828",$545.63 ,"237,637",$743.04 ,"1,106","$1,193.66 ",144,"$1,084.42 ",962,"$1,210.02 ","8,622,658","$1,198.44 ","4,384,149","$1,321.60 ","4,238,509","$1,071.04 ","123,104",$337.23 ,"10,101",$363.87 ,"113,003",$334.85 ,"1,549,761",$368.78 ,"1,378,954",$352.59 ,"124,047",$493.78 ,"46,760",$514.70 ,,,,,,,,,,,
Jul-18,"43,238,832","$1,414.73 ","21,544,465","$1,575.90 ","21,694,367","$1,254.67 ","2,379,664",$737.85 ,"166,235",$621.78 ,"2,213,429",$746.56 ,"673,441",$675.62 ,"341,427",$652.00 ,"326,982",$699.34 ,"5,032",$736.48 ,"1,872,220",$858.39 ,"1,187,975",$845.67 ,"668,908",$879.98 ,"15,337",$901.88 ,"3,676,471","$1,346.02 ","120,419","$1,189.24 ","3,556,052","$1,351.33 ","123,153",$981.01 ,"9,755",$847.25 ,"113,398",$992.52 ,"257,128",$727.71 ,"19,875",$545.70 ,"237,253",$742.96 ,"1,105","$1,192.81 ",141,"$1,082.00 ",964,"$1,209.01 ","8,611,522","$1,198.54 ","4,376,450","$1,321.55 ","4,235,072","$1,071.42 ","121,607",$339.07 ,"10,065",$365.45 ,"111,542",$336.68 ,"1,510,924",$367.27 ,"1,373,940",$354.70 ,"124,261",$494.70 ,"12,723",$480.44 ,,,,,,,,,,,
Aug-18,"43,371,292","$1,415.94 ","21,606,291","$1,577.07 ","21,765,001","$1,255.98 ","2,384,315",$738.54 ,"168,418",$622.53 ,"2,215,897",$747.35 ,"676,630",$675.87 ,"341,598",$651.87 ,"328,492",$699.42 ,"6,540",$746.50 ,"1,877,012",$858.61 ,"1,186,919",$845.44 ,"669,764",$880.37 ,"20,329",$910.87 ,"3,678,053","$1,346.91 ","121,389","$1,190.57 ","3,556,664","$1,352.25 ","124,129",$982.28 ,"9,851",$849.15 ,"114,278",$993.75 ,"256,712",$727.44 ,"19,926",$545.62 ,"236,786",$742.74 ,"1,101","$1,191.77 ",141,"$1,085.10 ",960,"$1,207.43 ","8,596,559","$1,198.49 ","4,366,849","$1,321.40 ","4,229,710","$1,071.59 ","121,098",$339.29 ,"10,081",$366.26 ,"111,017",$336.84 ,"1,507,450",$367.74 ,"1,366,886",$354.78 ,"124,232",$494.51 ,"16,332",$487.89 ,,,,,,,,,,,
Sep-18,"43,446,012","$1,417.22 ","21,635,862","$1,578.37 ","21,810,150","$1,257.36 ","2,385,893",$739.45 ,"170,408",$623.87 ,"2,215,485",$748.34 ,"679,700",$676.19 ,"341,068",$651.73 ,"329,445",$699.49 ,"9,187",$748.59 ,"1,887,485",$858.87 ,"1,188,202",$845.03 ,"670,617",$880.78 ,"28,666",$919.81 ,"3,671,297","$1,347.94 ","121,454","$1,191.72 ","3,549,843","$1,353.29 ","121,159",$983.83 ,"9,458",$851.10 ,"111,701",$995.07 ,"256,290",$727.13 ,"19,978",$545.25 ,"236,312",$742.50 ,"1,085","$1,195.43 ",139,"$1,086.67 ",946,"$1,211.41 ","8,585,452","$1,198.67 ","4,359,490","$1,321.49 ","4,225,962","$1,071.98 ","120,138",$340.47 ,"10,091",$367.13 ,"110,047",$338.03 ,"1,507,554",$368.30 ,"1,360,777",$354.68 ,"124,272",$494.26 ,"22,505",$496.49 ,,,,,,,,,,,
Oct-18,"43,562,805","$1,419.34 ","21,689,663","$1,580.52 ","21,873,142","$1,259.51 ","2,390,016",$740.90 ,"172,671",$625.81 ,"2,217,345",$749.86 ,"684,013",$677.34 ,"341,261",$652.26 ,"330,145",$700.31 ,"12,607",$754.85 ,"1,896,495",$859.61 ,"1,186,683",$845.10 ,"671,160",$881.30 ,"38,652",$928.64 ,"3,672,167","$1,348.77 ","122,475","$1,192.50 ","3,549,692","$1,354.16 ","122,670",$984.63 ,"9,635",$855.56 ,"113,035",$995.63 ,"255,833",$726.95 ,"19,964",$545.75 ,"235,869",$742.28 ,"1,071","$1,200.52 ",132,"$1,106.01 ",939,"$1,213.81 ","8,573,763","$1,199.88 ","4,351,569","$1,322.66 ","4,222,194","$1,073.34 ","119,663",$340.85 ,"10,048",$367.28 ,"109,615",$338.42 ,"1,507,562",$369.62 ,"1,352,607",$355.20 ,"124,293",$494.19 ,"30,662",$500.51 ,,,,,,,,,,,
Nov-18,"43,668,800","$1,420.10 ","21,737,846","$1,581.26 ","21,930,954","$1,260.37 ","2,393,433",$741.46 ,"174,542",$626.33 ,"2,218,891",$750.51 ,"687,055",$677.78 ,"340,108",$651.80 ,"331,023",$700.63 ,"15,924",$757.78 ,"1,902,160",$859.90 ,"1,182,837",$844.49 ,"671,563",$881.55 ,"47,760",$936.98 ,"3,671,466","$1,349.28 ","123,056","$1,192.95 ","3,548,410","$1,354.70 ","123,414",$985.88 ,"9,724",$857.16 ,"113,690",$996.90 ,"255,239",$726.91 ,"19,927",$545.48 ,"235,312",$742.27 ,"1,063","$1,201.19 ",133,"$1,103.49 ",930,"$1,215.16 ","8,557,051","$1,199.91 ","4,341,576","$1,322.52 ","4,215,475","$1,073.63 ","119,074",$340.63 ,"10,030",$367.36 ,"109,044",$338.17 ,"1,506,561",$370.02 ,"1,344,201",$354.88 ,"124,090",$493.61 ,"38,270",$501.17 ,,,,,,,,,,,
Dec-18,"43,721,450","$1,461.31 ","21,760,418","$1,626.92 ","21,961,032","$1,297.22 ","2,391,734",$763.04 ,"175,776",$645.00 ,"2,215,958",$772.41 ,"690,060",$697.31 ,"339,202",$669.60 ,"331,504",$720.59 ,"19,354",$784.00 ,"1,910,821",$884.80 ,"1,182,080",$868.18 ,"671,955",$906.71 ,"56,786",$971.55 ,"3,653,385","$1,388.00 ","122,467","$1,227.42 ","3,530,918","$1,393.57 ","120,640","$1,007.17 ","9,540",$874.12 ,"111,100","$1,018.60 ","254,581",$747.41 ,"19,915",$561.03 ,"234,666",$763.22 ,"1,063","$1,232.28 ",134,"$1,129.99 ",929,"$1,247.03 ","8,537,332","$1,233.70 ","4,330,186","$1,359.64 ","4,207,146","$1,104.06 ","118,514",$350.37 ,"10,034",$380.88 ,"108,480",$347.55 ,"1,506,642",$381.11 ,"1,337,019",$364.71 ,"123,722",$507.76 ,"45,901",$517.42 ,,,,,,,,,,,
Jan-19,"43,887,714","$1,463.97 ","21,839,342","$1,629.83 ","22,048,372","$1,299.69 ","2,389,905",$764.09 ,"177,286",$646.48 ,"2,212,619",$773.51 ,"695,711",$698.53 ,"340,608",$670.50 ,"332,168",$721.18 ,"22,935",$786.58 ,"1,921,766",$886.24 ,"1,183,421",$869.19 ,"672,149",$907.10 ,"66,196",$979.29 ,"3,634,892","$1,390.44 ","122,480","$1,230.63 ","3,512,412","$1,396.01 ","113,024",$999.08 ,"8,754",$862.44 ,"104,270","$1,010.55 ","254,167",$747.28 ,"19,963",$561.79 ,"234,204",$763.09 ,"1,047","$1,239.35 ",132,"$1,145.32 ",915,"$1,252.91 ","8,520,503","$1,233.98 ","4,319,097","$1,359.92 ","4,201,406","$1,104.51 ","117,096",$350.55 ,"10,015",$379.82 ,"107,081",$347.81 ,"1,507,847",$381.92 ,"1,330,421",$364.66 ,"123,686",$507.30 ,"53,740",$520.50 ,,,,,,,,,,,
Feb-19,"44,018,977","$1,465.19 ","21,903,593","$1,630.98 ","22,115,384","$1,300.99 ","2,393,107",$764.70 ,"179,484",$647.61 ,"2,213,623",$774.19 ,"700,641",$699.01 ,"341,529",$670.18 ,"333,055",$721.50 ,"26,057",$789.54 ,"1,930,238",$886.66 ,"1,183,484",$868.78 ,"672,622",$907.38 ,"74,132",$984.15 ,"3,639,661","$1,391.20 ","123,763","$1,231.80 ","3,515,898","$1,396.81 ","114,527","$1,000.85 ","8,853",$864.18 ,"105,674","$1,012.30 ","253,837",$746.89 ,"19,994",$561.47 ,"233,843",$762.74 ,"1,050","$1,238.45 ",136,"$1,142.56 ",914,"$1,252.72 ","8,510,897","$1,234.13 ","4,312,507","$1,359.97 ","4,198,390","$1,104.87 ","117,011",$350.72 ,"10,043",$379.86 ,"106,968",$347.99 ,"1,509,589",$382.39 ,"1,325,654",$364.42 ,"123,724",$506.87 ,"60,211",$522.24 ,,,,,,,,,,,
Mar-19,"44,132,486","$1,467.17 ","21,956,772","$1,632.88 ","22,175,714","$1,303.10 ","2,397,155",$765.86 ,"182,357",$649.64 ,"2,214,798",$775.42 ,"706,299",$699.59 ,"343,355",$669.99 ,"333,597",$721.92 ,"29,347",$792.04 ,"1,941,542",$887.53 ,"1,185,887",$868.88 ,"673,052",$907.86 ,"82,603",$989.66 ,"3,643,573","$1,392.14 ","125,200","$1,233.10 ","3,518,373","$1,397.79 ","115,972","$1,002.04 ","8,969",$867.16 ,"107,003","$1,013.34 ","252,974",$747.02 ,"19,946",$561.92 ,"233,028",$762.86 ,"1,050","$1,239.38 ",136,"$1,136.31 ",914,"$1,254.72 ","8,504,781","$1,234.74 ","4,307,654","$1,360.46 ","4,197,127","$1,105.70 ","116,997",$351.09 ,"10,069",$381.78 ,"106,928",$348.20 ,"1,512,665",$382.89 ,"1,322,244",$364.15 ,"123,628",$506.63 ,"66,793",$524.93 ,,,,,,,,,,,
Apr-19,"44,240,007","$1,468.39 ","22,006,582","$1,634.02 ","22,233,425","$1,304.45 ","2,401,901",$766.58 ,"185,176",$650.46 ,"2,216,725",$776.28 ,"710,410",$699.89 ,"344,353",$669.36 ,"333,970",$722.23 ,"32,087",$795.03 ,"1,950,765",$887.86 ,"1,187,934",$868.18 ,"673,595",$908.40 ,"89,236",$994.93 ,"3,646,245","$1,392.99 ","126,436","$1,233.34 ","3,519,809","$1,398.73 ","117,247","$1,003.67 ","9,090",$869.82 ,"108,157","$1,014.92 ","252,188",$747.18 ,"19,903",$562.55 ,"232,285",$763.00 ,"1,041","$1,239.78 ",135,"$1,134.05 ",906,"$1,255.53 ","8,497,887","$1,235.15 ","4,302,581","$1,360.85 ","4,195,306","$1,106.24 ","117,366",$351.33 ,"10,205",$383.34 ,"107,161",$348.29 ,"1,513,736",$383.36 ,"1,318,087",$363.92 ,"123,529",$506.85 ,"72,120",$527.13 ,,,,,,,,,,,
May-19,"44,355,172","$1,469.52 ","22,058,463","$1,635.08 ","22,296,709","$1,305.73 ","2,405,428",$767.10 ,"187,455",$651.16 ,"2,217,973",$776.90 ,"713,115",$700.24 ,"344,600",$669.13 ,"334,800",$722.60 ,"33,715",$796.21 ,"1,954,973",$888.03 ,"1,187,620",$867.54 ,"673,981",$908.81 ,"93,372",$998.58 ,"3,647,321","$1,393.76 ","127,406","$1,233.85 ","3,519,915","$1,399.54 ","118,092","$1,005.01 ","9,137",$870.67 ,"108,955","$1,016.28 ","251,374",$747.38 ,"19,878",$563.11 ,"231,496",$763.20 ,"1,043","$1,240.89 ",137,"$1,135.45 ",906,"$1,256.84 ","8,486,118","$1,235.49 ","4,294,737","$1,361.19 ","4,191,381","$1,106.70 ","117,124",$351.68 ,"10,199",$383.48 ,"106,925",$348.65 ,"1,509,983",$383.77 ,"1,311,303",$363.86 ,"123,342",$506.69 ,"75,338",$529.13 ,,,,,,,,,,,
Jun-19,"44,469,687","$1,470.83 ","22,108,024","$1,636.33 ","22,361,663","$1,307.21 ","2,407,953",$767.90 ,"189,906",$652.99 ,"2,218,047",$777.73 ,"700,572",$699.53 ,"345,362",$671.15 ,"335,660",$723.17 ,"19,550",$795.00 ,"1,912,961",$887.03 ,"1,189,134",$869.40 ,"674,528",$909.40 ,"49,299","$1,006.16 ","3,647,163","$1,394.62 ","128,335","$1,234.83 ","3,518,828","$1,400.45 ","119,226","$1,010.63 ","9,300",$878.17 ,"109,926","$1,021.83 ","250,694",$747.63 ,"19,895",$564.26 ,"230,799",$763.43 ,"1,042","$1,245.86 ",138,"$1,153.25 ",904,"$1,259.99 ","8,475,423","$1,235.90 ","4,287,117","$1,361.53 ","4,188,306","$1,107.30 ","117,014",$352.42 ,"10,233",$384.13 ,"106,781",$349.38 ,"1,470,272",$382.82 ,"1,306,054",$366.16 ,"123,164",$507.79 ,"41,054",$537.60 ,,,,,,,,,,,
Jul-19,"44,583,372","$1,472.16 ","22,157,393","$1,637.65 ","22,425,979","$1,308.65 ","2,411,503",$768.74 ,"192,537",$654.36 ,"2,218,966",$778.66 ,"686,028",$698.57 ,"344,754",$673.02 ,"336,456",$723.81 ,"4,818",$764.38 ,"1,878,074",$885.22 ,"1,188,794",$870.61 ,"674,919",$909.88 ,"14,361",$935.91 ,"3,645,822","$1,395.68 ","129,021","$1,236.55 ","3,516,801","$1,401.52 ","118,218","$1,016.61 ","9,271",$884.48 ,"108,947","$1,027.85 ","249,763",$747.66 ,"19,838",$564.01 ,"229,925",$763.51 ,"1,043","$1,250.38 ",137,"$1,156.01 ",906,"$1,264.64 ","8,457,535","$1,236.12 ","4,276,438","$1,361.63 ","4,181,097","$1,107.74 ","115,801",$353.87 ,"10,227",$386.28 ,"105,574",$350.73 ,"1,434,021",$381.38 ,"1,299,594",$368.18 ,"122,892",$509.15 ,"11,535",$507.17 ,,,,,,,,,,,
